"2018-08-22","V-79075164","ES0133867038","0004 - ALLIANZ POPULAR ASSET MANAGEM.","0144 - BNP PARIBAS SECURITIES S. S. ESP. ","RENTA FIJA EURO","FI_SHORTT","No","0.01","0.0015","293153732.51","35812,00","-1.64","-0.97","-1.55","0,00","-2.19","-1.69"
"2018-08-22"," ","ES0133867004","0004 - ALLIANZ POPULAR ASSET MANAGEM.","0144 - BNP PARIBAS SECURITIES S. S. ESP. ","RENTA FIJA EURO","FI_SHORTT","No"," "," ","27923100.45","408,00","-1.35","-0.85","-1.32","n.d.","-0.83","-1.23"
"2018-08-22","V-82140401","ES0133877003","0004 - ALLIANZ POPULAR ASSET MANAGEM.","0144 - BNP PARIBAS SECURITIES S. S. ESP. ","RENTA FIJA EURO","FI_SHORTT","No","0.004"," ","162394555.11","32,00","-0.41","-0.25","-0.39","2.56","0.04","-0.4"
"2018-08-22","G-81888737","ES0133617037","0004 - ALLIANZ POPULAR ASSET MANAGEM.","0144 - BNP PARIBAS SECURITIES S. S. ESP. ","RENTA FIJA CORTO PLAZO","FI_SHORTT","No","0.007","0.0015","601200426.74","15659,00","-1.43","-0.82","-1.33","4.55","0.04","-1.35"
"2018-08-23","G-82488875","ES0147074035","0182 - POPULAR GESTION PRIVADA","0094 - RBC INVESTOR SERVICES ESPA?A ","RENTA FIJA EURO","FI_SHORTT","S","0.0009","0.0005","42269512.72","599,00","-0.46","-0.17","-0.36","0.06","-0.92","-0.61"
"2018-08-22","V-86017662","ES0125935009","0004 - ALLIANZ POPULAR ASSET MANAGEM.","0144 - BNP PARIBAS SECURITIES S. S. ESP. ","RENTA FIJA CORTO PLAZO","FI_SHORTT","No","0.01"," ","63185325.79","306,00","-0.32","-0.14","-0.25","1.22","-0.28","-0.39"
"2018-08-22","E-28751253","ES0133864035","0004 - ALLIANZ POPULAR ASSET MANAGEM.","0144 - BNP PARIBAS SECURITIES S. S. ESP. ","RENTA FIJA LARGO PLAZO","FI_LONGT","No","0.02"," ","55815969.22","4312,00","-2.18","-1.19","-2.17","5.62","-0.88","-1.93"
"2018-08-22","G-84562461","ES0133479032","0004 - ALLIANZ POPULAR ASSET MANAGEM.","0144 - BNP PARIBAS SECURITIES S. S. ESP. ","RENTA FIJA LARGO PLAZO","FI_LONGT","No","0.01","0.001","63562981.09","2314,00","-1.24","-1.04","-1.51","15.53","2.9","-0.72"
"2018-08-22","V-85790079","ES0133485005","0004 - ALLIANZ POPULAR ASSET MANAGEM.","0144 - BNP PARIBAS SECURITIES S. S. ESP. ","RENTA FIJA EURO","FI_LONGT","No","0.012","0.001","13010300.13","454,00","-1.44","0.09","-0.7","10.44","2.74","-1.14"
"2018-08-22"," ","ES0168703009","0182 - POPULAR GESTION PRIVADA","0094 - RBC INVESTOR SERVICES ESPA?A ","RENTA VARIBLE MIXTO EURO","FI_MIX","No"," "," ","3235470.82","25,00","-1.26","-0.42","-0.95","n.d.","n.d.","-1.08"
